,Countries,Region,Freedom_2019,Freedom_2020,Freedom_2021,Total_cases,Total_deaths,Total_cases_per_1M,Population
124,Lesotho,Sub-Saharan Africa,0.359,0.738125861,0.715,11168,329,5173,1002032
125,Burundi,Sub-Saharan Africa,0.22,0.626350224,0.626,5334,8,436,25057043
126,Zimbabwe,Sub-Saharan Africa,0.361,0.711457908,0.677,44306,1709,2939,16944989
127,Haiti,Latin America and Caribbean,0.026,0.537825167,0.593,17963,400,1557,1171909
128,Botswana,Sub-Saharan Africa,0.455,0.821328104,0.824,67492,1095,28146,635919
129,Malawi,Sub-Saharan Africa,0.443,0.803223193,0.78,35219,1178,1796,44846652
130,Yemen,Middle East and North Africa,0.143,0.599920273,0.602,6905,1356,227,4911715
131,Rwanda,Sub-Saharan Africa,0.555,0.900589406,0.897,34143,402,2574,19611170
132,Tanzania,Sub-Saharan Africa,0.417,0.82153976,0.833,509,21,8,66476
133,Afghanistan,South Asia,0,0.396573007,0.382,111592,4519,2805,6629264
