ID,Country,Total_cases,Total_deaths,Total_recovered,Active_cases,Serious,Total_Cases_Per_1M,Deaths,Total_tests,Tests_per_1M,Population
132,Guyana,"19,565",458,"17,405","1,702",18,"24,757",580,"182,066","230,385","4,768,619"
133,Mayotte,"19,389",174,"2,964","16,251",6,"69,438",623,"176,919","633,605","790,268"
134,French Polynesia,"18,992",142,"18,822",28,,"67,229",503,"26,355","93,293","279,226"
135,Eswatini,"18,947",678,"18,059",210,10,"16,168",579,"224,227","191,335","282,498"
136,Haiti,"17,963",400,"12,777","4,786",,"1,557",35,"85,798","7,436","1,171,909"
137,Papua New Guinea,"17,079",173,"16,480",426,7,"1,874",19,"131,146","14,392","11,538,373"
138,Guadeloupe,"16,881",230,"2,250","14,401",23,"42,182",575,"221,519","553,533","9,112,343"
139,Somalia,"14,875",775,"7,231","6,869",,911,47,"146,456","8,971","400,191"
140,Seychelles,"14,620",59,"13,323","1,238",,"147,762",596,"21,504","217,337","16,324,612"
141,Mali,"14,396",525,"10,043","3,828",,692,25,"314,437","15,104","98,943"
142,Taiwan,"14,389",605,"10,380","3,404",,603,25,"1,997,534","83,722","20,818,157"
143,Vietnam,"14,323",72,"5,759","8,492",,146,0.7,"8,434,266","85,893","23,859,010"
144,Andorra,"13,877",127,"13,694",56,3,"179,322","1,641","193,595","2,501,680","98,195,205"
145,Togo,"13,749",128,"13,379",242,,"1,624",15,"355,666","42,002","77,386"
146,Burkina Faso,"13,474",168,"13,295",11,,628,8,"194,755","9,075","8,467,742"
147,Tajikistan,"13,358",90,"13,218",50,,"1,371",9,,,"21,461,002"
148,Belize,"13,104",329,"12,595",180,,"32,382",813,"149,623","369,740","9,746,394"
149,Bahamas,"12,407",244,"11,393",770,3,"31,258",615,"104,800","264,034","404,671"
150,Congo,"12,404",164,"11,211","1,029",,"2,195",29,"158,304","28,017","396,919"
151,Curaçao,"12,327",126,"12,166",35,4,"74,822",765,"131,609","798,841","5,650,355"
152,Martinique,"12,264",98,98,"12,068",1,"32,706",261,"195,568","521,542","164,750"
153,Hong Kong,"11,906",210,"11,619",77,1,"1,576",28,"16,710,131","2,211,363","374,980"
154,Djibouti,"11,597",155,"11,436",6,,"11,573",155,"169,973","169,628","7,556,485"
155,Lesotho,"11,168",329,"6,445","4,394",,"5,173",152,"107,980","50,017","1,002,032"
156,Aruba,"11,125",107,"10,983",35,14,"103,768",998,"174,818","1,630,613","2,158,864"
157,South Sudan,"10,812",115,"10,514",183,,955,10,"174,045","15,372","107,210"
158,Timor-Leste,"8,889",20,"7,966",903,,"6,619",15,"92,846","69,136","11,321,995"
159,Equatorial Guinea,"8,712",120,"8,506",86,1,"6,018",83,"149,330","103,145","1,342,939"
160,Benin,"8,170",104,"8,000",66,5,657,8,"604,310","48,608","1,447,763"
161,Nicaragua,"7,920",189,"4,225","3,506",,"1,182",28,,,"12,432,288"
162,CAR,"7,139",98,"6,859",182,2,"1,453",20,"54,814","11,160","6,701,585"
163,Yemen,"6,905","1,356","3,995","1,554",23,227,45,"101,588","3,334","4,911,715"
164,Iceland,"6,637",30,"6,595",12,1,"19,327",87,"749,087","2,181,320","30,466,157"
165,Gambia,"6,054",181,"5,844",29,3,"2,438",73,"81,795","32,946","343,410"
166,Eritrea,"5,664",21,"5,147",496,,"1,576",6,"23,693","6,592","2,482,717"
167,Niger,"5,475",193,"5,199",83,2,219,8,"116,538","4,651","3,594,368"
168,Burundi,"5,334",8,773,"4,553",,436,0.7,"345,742","28,258","25,057,043"
169,Saint Lucia,"5,238",84,"5,084",70,,"28,398",455,"52,341","283,769","12,235,135"
170,Sierra Leone,"5,155",87,"3,368","1,700",,634,11,"153,646","18,887","184,449"
171,San Marino,"5,090",90,"5,000",0,,"149,701","2,647","68,045","2,001,265","8,135,155"
172,Chad,"4,951",174,"4,769",8,,293,10,"125,409","7,428","34,001"
173,Gibraltar,"4,335",94,"4,216",25,,"128,708","2,791","273,980","8,134,557","16,884,320"
174,Channel Islands,"4,150",86,"3,994",70,,"23,656",490,"563,229","3,210,563","33,681"
175,Barbados,"4,057",47,"3,992",18,,"14,101",163,"181,791","631,833","175,430"
176,Comoros,"3,912",146,"3,745",21,,"4,407",164,,,"287,720"
177,Guinea-Bissau,"3,844",69,"3,569",206,4,"1,909",34,"72,067","35,795","887,658"
178,Liberia,"3,265",110,"2,222",933,2,631,21,"115,112","22,250","2,013,311"
179,Liechtenstein,"3,031",59,"2,957",15,3,"79,273","1,543","49,126","1,284,844","5,173,483"
180,Fiji,"2,848",13,653,"2,182",2,"3,155",14,"181,294","200,813","38,235"
181,New Zealand,"2,725",26,"2,680",19,,545,5,"2,253,275","450,466","902,801"
182,Sint Maarten,"2,594",33,"2,509",52,2,"59,836",761,"28,642","660,685","5,002,100"
183,Monaco,"2,562",33,"2,496",33,1,"64,838",835,"51,953","1,314,800","43,352"
184,Bermuda,"2,504",33,"2,461",10,7,"40,353",532,"300,645","4,845,049","39,514"
185,Turks and Caicos,"2,424",18,"2,396",10,2,"61,791",459,"94,789","2,416,299","62,052"
186,Sao Tome and Principe,"2,364",37,"2,317",10,,"10,595",166,"14,270","63,954","39,229"
187,St. Vincent Grenadines,"2,216",12,"1,967",237,2,"19,913",108,"54,204","487,074","223,129"
188,Saint Martin,"2,133",12,"1,399",722,7,"54,261",305,"27,588","701,806","111,285"
189,Laos,"2,080",3,"1,962",115,,282,0.4,"286,644","38,848","39,310"
190,Bhutan,"2,006",1,"1,737",268,,"2,572",1,"798,573","1,023,924","7,378,671"
191,Mauritius,"1,779",18,"1,331",430,,"1,397",14,"358,675","281,571","779,914"
192,Caribbean Netherlands,"1,635",17,"1,609",9,,"61,789",642,"8,550","323,117","1,273,836"
193,Isle of Man,"1,603",29,"1,569",5,1,"18,754",339,"66,925","782,996","26,461"
194,Antigua and Barbuda,"1,263",42,"1,221",0,,"12,794",425,"16,700","169,162","85,473"
195,St. Barth,"1,005",1,462,542,,"101,454",101,"26,385","2,663,537","98,722"
196,Faeroe Islands,770,1,756,13,,"15,700",20,"301,402","6,145,417","9,906"
197,Diamond Princess,712,13,699,0,,,,,,"49,045"
198,Cayman Islands,609,2,588,19,,"9,161",30,"104,611","1,573,666",
199,Tanzania,509,21,183,305,7,8,0.3,,,"66,476"
200,Wallis and Futuna,445,7,438,0,,"40,290",634,"20,508","1,856,768","61,389,252"
201,Saint Kitts and Nevis,425,3,98,324,1,"7,934",56,"20,537","383,389","11,045"
202,British Virgin Islands,298,1,293,4,,"9,794",33,"53,674","1,763,967","53,567"
203,Brunei,256,3,245,8,,580,7,"137,767","311,989","30,428"
204,Dominica,192,,189,3,,"2,661",,"18,388","254,819","441,576"
205,Grenada,161,1,160,0,,"1,424",9,"28,684","253,767","72,161"
206,New Caledonia,129,,58,71,,448,,"34,704","120,424","113,033"
207,Anguilla,109,,109,0,,"7,202",,"22,201","1,466,962","288,182"
208,Falkland Islands,63,,63,0,,"17,603",,"7,307","2,041,632","15,134"
209,Macao,53,,51,2,,81,,"4,483","6,813","3,579"
210,Greenland,50,,40,10,,879,,"28,389","499,226","657,982"
211,Vatican City,27,,27,0,,"33,624",,,,"56,866"
